Alexis Lafreniere,"[10000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Tim Stuetzle,"[0, 4984, 3787, 1229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Quinton Byfield,"[0, 2457, 3162, 3253, 1128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Cole Perfetti,"[0, 0, 0, 1125, 1894, 1699, 2665, 2617, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Jamie Drysdale,"[0, 0, 1236, 1883, 3419, 2604, 858, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Jack Quinn,"[0, 0, 0, 0, 0, 292, 918, 1523, 1875, 1765, 1396, 871, 549, 346, 216, 116, 83, 30, 12, 6, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Yaroslav Askarov,"[0, 0, 0, 0, 0, 0, 73, 277, 617, 1785, 2471, 2152, 1254, 677, 359, 161, 88, 47, 25, 7, 4, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Marco Rossi,"[0, 0, 0, 1130, 2488, 2863, 1751, 1177, 436, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Lucas Raymond,"[0, 2559, 1815, 1380, 1071, 1172, 909, 540, 337, 154, 39, 20, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Hendrix Lapierre,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 174, 441, 789, 1293, 1263, 1211, 1037, 855, 725, 546, 424, 344, 272, 200, 187, 122, 72, 31, 9, 5, 0, 0]"
Connor Zary,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 158, 314, 541, 707, 852, 957, 1065, 1172, 1168, 1082, 857, 644, 326, 113, 0, 0, 0, 0, 0, 0]"
Jake Sanderson,"[0, 0, 0, 0, 0, 0, 0, 114, 1824, 1765, 1503, 1199, 915, 778, 664, 481, 365, 243, 115, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Alexander Holtz,"[0, 0, 0, 0, 0, 1370, 2826, 3752, 1357, 521, 130, 33, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Dylan Holloway,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 262, 521, 934, 1236, 1450, 1429, 1364, 1138, 823, 448, 207, 117, 52, 19, 0, 0, 0, 0, 0, 0, 0]"
Tyson Foerster,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 52, 218, 453, 674, 834, 1044, 1066, 1002, 973, 852, 670, 500, 401, 346, 268, 190]"
Anton Lundell,"[0, 0, 0, 0, 0, 0, 0, 0, 3554, 2745, 2195, 950, 366, 144, 34, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Dawson Mercer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 187, 349, 562, 809, 907, 1065, 1192, 1189, 1110, 955, 742, 482, 277, 108, 0, 0, 0, 0, 0]"
William Wallinder,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 73, 224, 450, 751, 1257, 1784, 1933, 1622, 1049, 511, 246, 70, 17]"
Rodion Amirov,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 202, 909, 1472, 1528, 1300, 1086, 835, 634, 496, 411, 316, 230, 205, 179, 138, 45, 11, 3, 0, 0, 0]"
Mavrik Bourque,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32, 174, 388, 687, 1056, 1494, 1874, 2129, 1349, 507, 218]"
Jeremie Poirier,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 108, 210, 330, 469, 578, 723, 781, 817, 857, 878, 965, 1035, 1092, 837, 291, 0]"
Brendan Brisson,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 39, 106, 262, 513, 1123, 1564, 1672]"
Seth Jarvis,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 45, 248, 439, 588, 804, 930, 1214, 1574, 1709, 1155, 761, 359, 127]"
Kaiden Guhle,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 503, 901, 1252, 1407, 1392, 1206, 1048, 815, 594, 402, 238, 126, 63, 28, 17, 6, 2, 0, 0]"
Braden Schneider,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 73, 278, 546, 918, 1275, 1552, 1524, 1269, 940, 666, 480, 340, 116, 0]"
Justin Barron,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 308, 550, 765, 846, 1005, 997, 935, 893, 808, 691, 581, 493, 400, 258, 184, 91, 56]"
Daniel Torgersson,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 51, 379, 716]"
Shakir Mukhamadullin,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 47, 370, 911, 1302, 1550, 1476]"
Ozzy Wiesblatt,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5]"
Ridly Greig,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Eemil Viro,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Noel Gunler,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 268, 555, 823, 982, 1171, 1339, 1233, 1073, 882, 686, 398, 244, 157, 87, 32, 12, 3, 0, 0]"
Jan Mysak,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 85, 166, 363, 479, 627, 717, 955, 903, 933, 883, 885, 946, 844, 544, 297, 161, 97, 53]"
Lukas Cormier,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 62, 173, 343, 632, 1136, 1499, 1431]"
John-Jason Peterka,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 88, 536, 1308, 1913]"
Alexander Pashin,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 35, 142]"
Zion Nybeck,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10]"
Martin Chromiak,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Vasily Ponomarev,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Ty Smilanic,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Thomas Bordeleau,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 77, 192]"
Helge Grans,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 92, 293, 595, 836]"
